inventory_id,product_id,warehouse_location,quantity_available,reserved_quantity,reorder_level,last_restocked,supplier_id,cost_per_unit_cents
1,1,NYC_MAIN,50,5,10,2024-01-10,101,1200
2,2,NYC_MAIN,25,2,5,2024-01-12,102,800
3,3,LA_WEST,30,0,8,2024-01-08,103,2100
4,4,LA_WEST,15,3,5,2024-01-15,101,400
5,5,CHI_CENTRAL,40,1,12,2024-01-14,104,600
6,6,CHI_CENTRAL,20,4,6,2024-01-11,102,1000
7,7,NYC_MAIN,35,2,10,2024-01-13,105,450
8,8,LA_WEST,10,1,3,2024-01-16,103,1800
9,9,CHI_CENTRAL,25,0,8,2024-01-09,104,900
10,10,NYC_MAIN,18,3,5,2024-01-17,101,1500
11,11,LA_WEST,22,1,7,2024-01-12,106,700
12,12,CHI_CENTRAL,28,2,9,2024-01-14,102,550
